"","Location","cig_smoke","toba_smoke","toba_use","HealyWarningsOnSmoking","MostSoldBrandCigaretteCurrency","MostSoldBrandCigarettePrice","TreatmentInHealthFacilities","BanOnEducationalFacilites","BanOnGovernmentFacilites","BanOnHealthcareFacilites","BanOnIndoorOffices","BanOnPublicTransport","BanOnPubsAndBars","BanOnRestaurants","BanOnUniversities","RegulationsOnSmokeFreeEnvironments","Year"
"1","Albania",46.8,54.4,54.4,"No","All","130","Data not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"2","Algeria",12.1,15.9,20.8,"No","DZD","70","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","3",2008
"3","Andorra",28.9,35.1,35.1,"Not applicable","Not applicable","Data not available","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"4","Argentina",28.3,31.2,34.1,"Not applicable","ARS","3.8","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"5","Armenia",29.2,31.3,31.3,"Not applicable","AMD","500","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"6","Australia",16.1,19.7,22.4,"No","AUD","9.6","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"7","Austria",36.7,39.4,39.4,"No","EUR","3.6","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"8","Azerbaijan",19.3,24.2,24.2,"Not applicable","AZN","0.7","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"9","Bahamas",3.1,18.5,18.5,"Not applicable","BSD","2.69","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"10","Bahrain",14.6,34.8,26.5,"Not applicable","BHD","0.6","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"11","Bangladesh",22,3,45.5,"Not applicable","BDT","15","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","0",2008
"12","Barbados",2,2.6,2.7,"Not applicable","BBD","11","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"13","Belarus",30.4,32.6,32.6,"Not applicable","BYR","860","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"14","Belgium",26,27.8,27.8,"No","EUR","4.16","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"15","Benin",10.4,14.5,20.2,"No","XOF","500","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","1",2008
"16","Bosnia and Herzegovina",34.7,42.8,42.8,"Not applicable","BAM","2","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"17","Botswana",24.9,31.8,27.7,"Not applicable","BWP","17.5","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"18","Brazil",17,19.2,25,"No","BRL","2.4","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"19","Brunei Darussalam",24.5,29.2,29.2,"No","BND","2.24","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"20","Bulgaria",41.3,44.8,44.8,"No","BGN","2.9","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"21","Burkina Faso",11.2,25.2,22.7,"No","XOF","500","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","2",2008
"22","Burundi",18.1,21.3,23.9,"Not applicable","BIF","600","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"23","Cambodia",4.4,4.7,34.6,"Not applicable","USD","0.3","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"24","Cameroon",15.2,15.2,2,"No","XAF","500","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","0",2008
"25","Canada",20,20.7,28.1,"Not applicable","CAD","7.86","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"26","Chad",12.5,10,22.6,"No","XAF","500","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"27","Chile",38.3,49.6,49.6,"Yes","CLP","1,074","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","10",2008
"28","China",25,27.3,27.3,"Not applicable","CNY","6.44","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","1",2008
"29","Colombia",15.9,17.9,17.9,"No","COP","1,769","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"30","Comoros",22,26.5,30.4,"Not applicable","KMF","500","Data not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"31","Congo",16.2,18.1,22.2,"Not applicable","XAF","500","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"32","Cook Islands",28.6,35.7,35.7,"No","NZD","8.2","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"33","Costa Rica",18.7,20.8,20.8,"Not applicable","CRC","750","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","7",2008
"34","Croatia",31.8,35.3,35.3,"No","HRK","15","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"35","Cuba",27.3,37.8,37.8,"No","CUP","7","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","5",2008
"36","Cyprus",32.5,40,40,"No","EUR","2.82","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2008
"37","Czechia",28.4,33.4,33.4,"No","CZK","53","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2008
"38","Albania",45.7,53.2,53.2,"No","All","150","Data not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","0",2010
"39","Algeria",11.7,15.5,20,"No","DZD","85","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","1",2010
"40","Andorra",28.4,34.7,34.7,"Not applicable","EUR","2.4","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2010
"41","Argentina",25.3,28,30.1,"Not applicable","ARS","5.38","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2010
"42","Armenia",28.2,30,30,"Not applicable","AMD","550","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","3",2010
"43","Australia",14.7,17.9,20.4,"No","AUD","11.98","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2010
"44","Austria",33.8,36.1,36.1,"No","EUR","4","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","5",2010
"45","Azerbaijan",18.2,22.8,22.8,"Not applicable","AZN","0.7","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","0",2010
"46","Bahamas",2.9,18.4,18.4,"Not applicable","BSD","2.69","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2010
"47","Bahrain",14.3,34.4,42.2,"Not applicable","BHD","0.7","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2010
"48","Bangladesh",20.7,24.5,43.5,"Not applicable","BDT","17","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","3",2010
